org_type,org_size,facilities_affected,cyber_threats_tracked,monitoring_freq,backup_compromised,ransomware_infection_rate_(%),data_encrypted,data_stolen,recovery_time_(days),entry_method,paid_ransom,data_restored,ransomware_incidents,cluster,anomaly
Hospital,Medium,12,1-50,Weekly,True,64.84,False,False,69,Phishing Email,False,12.76,7,1,0
Hospital,Medium,1,50-350,Weekly,True,75.06,True,False,50,Phishing Email,True,50.78,3,1,0
Hospital,Medium,3,1-50,Daily,False,46.97,True,True,14,Compromised Credentials,True,65.39,4,0,0
Hospital,Large,14,350+,Monthly,True,57.04,True,False,31,Compromised Credentials,True,18.83,3,1,0
Hospital,Large,8,350+,Daily,False,52.99,True,True,12,Exploited Vulnerability,False,57.53,2,0,0
Insurance,Medium,11,50-350,More than once per day,True,24.79,True,False,19,Exploited Vulnerability,True,69.05,4,1,0
Hospital,Medium,14,1-50,Weekly,False,70.74,True,False,37,Exploited Vulnerability,True,11.66,6,0,0
Hospital,Medium,8,50-350,Daily,True,50.13,True,False,40,Phishing Email,False,22.46,2,1,0
Clinic,Small,3,1-50,Weekly,False,56.09,True,False,22,Compromised Credentials,False,30.21,4,2,0
Hospital,Medium,7,50-350,Monthly,False,71.63,True,True,31,Exploited Vulnerability,False,28.51,6,0,0
Insurance,Medium,19,1-50,Monthly,True,60.23,True,False,68,Exploited Vulnerability,True,41.59,3,1,0
Hospital,Large,4,350+,Weekly,False,52.02,True,False,13,Compromised Credentials,False,34.5,6,0,0
Pharma,Large,16,1-50,Weekly,True,47.94,True,False,53,Phishing Email,False,35.57,6,1,0
Research Lab,Medium,13,50-350,More than once per day,True,39.37,True,False,57,Compromised Credentials,True,68.58,2,1,0
Hospital,Medium,20,50-350,Daily,True,65.64,True,False,82,RDP Exploit,False,21.63,5,1,0
Hospital,Medium,19,50-350,Weekly,False,51.48,True,False,35,Phishing Email,True,68.78,4,0,0
Insurance,Large,5,1-50,Daily,True,38.38,True,False,47,Compromised Credentials,False,51.56,3,1,0
Research Lab,Small,23,350+,Daily,True,66.36,True,False,42,Exploited Vulnerability,False,17.79,3,1,0
Research Lab,Medium,5,50-350,Daily,False,59.5,True,False,23,Phishing Email,False,21.46,7,1,0
Research Lab,Medium,20,50-350,Weekly,True,54.89,True,True,70,Compromised Credentials,False,33.69,1,1,0
Hospital,Large,24,1-50,Daily,True,64.95,True,False,85,Compromised Credentials,False,37.62,3,0,0
Hospital,Medium,4,50-350,Weekly,False,56.47,True,False,22,Compromised Credentials,True,52.92,7,0,0
Hospital,Medium,2,50-350,Daily,False,54.64,True,False,17,Compromised Credentials,True,67.04,3,0,0
Insurance,Large,13,1-50,More than once per day,True,26.28,True,True,28,Exploited Vulnerability,True,67.23,4,1,0
Clinic,Small,16,1-50,Daily,False,82.61,True,False,72,Compromised Credentials,False,27.86,2,2,0
Hospital,Large,22,350+,Daily,True,47.12,False,True,24,Compromised Credentials,True,76.44,6,1,0
Hospital,Large,2,1-50,Monthly,True,55.25,True,False,39,Phishing Email,False,37.37,7,1,0
Hospital,Medium,19,1-50,More than once per day,True,36.0,True,False,46,Malicious Website,True,57.69,4,1,0
Hospital,Medium,17,50-350,Daily,True,68.24,True,False,52,Exploited Vulnerability,True,52.53,4,0,0
Research Lab,Medium,5,50-350,Daily,True,70.34,True,False,65,Compromised Credentials,False,26.19,5,1,0
Clinic,Small,18,1-50,Daily,True,66.96,False,False,93,Compromised Credentials,True,20.52,6,1,0
Insurance,Medium,23,50-350,More than once per day,False,33.9,True,True,25,Exploited Vulnerability,False,53.63,5,1,0
Clinic,Small,21,1-50,More than once per day,True,44.3,True,False,47,Phishing Email,True,59.18,4,1,0
Hospital,Large,18,1-50,Monthly,False,71.18,True,True,35,Exploited Vulnerability,True,38.56,5,0,0
Research Lab,Small,8,1-50,Weekly,True,76.31,True,False,62,Exploited Vulnerability,True,46.61,1,2,0
Research Lab,Small,15,350+,Daily,False,71.92,True,False,27,Exploited Vulnerability,True,29.94,3,0,0
Clinic,Small,13,1-50,Daily,True,39.08,False,False,46,Exploited Vulnerability,False,50.55,6,1,0
Research Lab,Small,13,1-50,Daily,True,54.57,True,True,77,Compromised Credentials,False,27.8,7,1,0
Clinic,Medium,16,50-350,Daily,True,54.55,True,False,63,Exploited Vulnerability,False,33.11,7,1,0
Clinic,Small,22,350+,Weekly,False,82.5,False,True,30,Phishing Email,True,65.62,4,2,0
Clinic,Small,20,1-50,Monthly,False,60.07,True,False,36,Exploited Vulnerability,True,45.67,2,2,0
Hospital,Medium,13,50-350,Daily,True,78.87,True,False,78,Compromised Credentials,False,27.35,5,1,0
Hospital,Large,20,1-50,Weekly,True,43.41,True,False,55,Compromised Credentials,True,19.28,7,0,0
Hospital,Medium,2,50-350,More than once per day,True,14.79,True,False,9,Phishing Email,False,43.64,1,1,0
Clinic,Medium,3,50-350,Daily,False,45.36,True,False,8,Exploited Vulnerability,True,66.18,5,2,0
Hospital,Medium,15,50-350,More than once per day,False,31.32,True,False,17,Infected Removable Media,False,32.32,1,1,0
Clinic,Small,23,1-50,More than once per day,False,34.04,False,False,36,Exploited Vulnerability,True,29.82,6,2,0
Pharma,Medium,19,1-50,Monthly,False,81.27,True,False,54,Compromised Credentials,True,44.79,1,0,0
Hospital,Large,13,1-50,Daily,False,60.69,False,False,32,Exploited Vulnerability,True,51.07,6,0,0
Clinic,Small,5,1-50,More than once per day,True,55.85,True,True,42,Phishing Email,True,53.09,6,1,0
Research Lab,Small,22,1-50,Monthly,False,63.56,True,False,58,Compromised Credentials,False,23.28,7,2,0
Hospital,Medium,6,50-350,Monthly,False,63.24,True,True,22,Malicious Website,False,33.42,1,1,0
Hospital,Large,14,350+,Weekly,False,77.09,True,False,24,RDP Exploit,True,63.94,4,0,0
Hospital,Large,4,350+,Monthly,True,58.03,True,False,25,Compromised Credentials,True,63.36,3,1,0
Hospital,Large,22,350+,Daily,True,83.9,True,False,48,Exploited Vulnerability,True,57.19,4,0,0
Pharma,Medium,19,50-350,Weekly,True,58.89,True,False,71,Exploited Vulnerability,False,32.37,3,1,0
Insurance,Medium,23,50-350,Weekly,False,59.0,True,False,30,Exploited Vulnerability,True,66.7,2,2,0
Clinic,Small,7,1-50,Monthly,True,47.48,True,True,34,Exploited Vulnerability,False,35.54,7,2,0
Insurance,Medium,4,50-350,Weekly,True,60.86,True,True,50,RDP Exploit,False,42.6,5,1,0
Insurance,Medium,2,50-350,Daily,True,62.31,True,False,50,Exploited Vulnerability,False,21.4,4,1,0
Hospital,Medium,7,50-350,Weekly,True,69.09,True,False,52,Exploited Vulnerability,False,29.39,5,1,0
Insurance,Medium,3,50-350,Daily,True,60.67,True,False,47,Exploited Vulnerability,False,32.15,6,1,0
Clinic,Small,15,1-50,Daily,True,47.43,True,False,74,Exploited Vulnerability,True,51.11,5,2,0
Insurance,Medium,1,1-50,More than once per day,False,42.61,True,True,21,Phishing Email,True,47.85,6,1,0
Insurance,Large,2,350+,Monthly,False,50.62,True,False,12,Exploited Vulnerability,True,71.3,6,0,0
Hospital,Medium,10,1-50,Daily,True,78.56,True,False,72,Exploited Vulnerability,True,50.69,2,0,0
Hospital,Medium,16,50-350,Daily,False,73.57,True,False,47,Compromised Credentials,True,58.28,5,0,0
Hospital,Large,15,350+,Daily,False,53.31,True,False,23,Compromised Credentials,True,67.26,3,0,0
Clinic,Medium,24,50-350,Monthly,True,40.46,True,False,60,Exploited Vulnerability,True,61.17,4,2,0
Insurance,Medium,15,50-350,Daily,True,53.27,True,False,75,Compromised Credentials,False,23.75,2,1,0
Insurance,Large,14,1-50,Weekly,True,65.55,False,False,75,Compromised Credentials,False,32.49,6,1,0
Hospital,Medium,22,1-50,Monthly,True,76.99,True,False,90,Exploited Vulnerability,True,51.01,7,0,0
Clinic,Medium,14,350+,Daily,False,78.61,True,False,22,Phishing Email,False,29.57,6,1,0
Clinic,Medium,6,50-350,Daily,True,69.63,True,False,49,Compromised Credentials,False,27.4,3,1,0
Hospital,Medium,14,50-350,Weekly,True,82.95,True,False,91,Exploited Vulnerability,True,44.13,6,0,0
Hospital,Large,17,1-50,Monthly,False,43.62,True,False,29,Phishing Email,False,43.5,3,0,0
Hospital,Medium,18,1-50,Weekly,True,61.69,True,False,65,Exploited Vulnerability,True,34.48,6,0,0
Pharma,Large,20,350+,Daily,False,49.24,True,False,20,Compromised Credentials,False,29.7,6,0,0
Hospital,Large,19,1-50,Monthly,True,59.28,True,False,87,Compromised Credentials,False,12.19,2,0,0
Clinic,Medium,17,50-350,Daily,True,61.6,True,False,73,RDP Exploit,False,16.97,2,1,0
Research Lab,Small,16,1-50,Weekly,True,74.32,True,False,84,Exploited Vulnerability,False,11.93,5,2,0
Hospital,Medium,8,50-350,Weekly,True,54.93,True,False,60,Phishing Email,False,35.11,1,1,0
Pharma,Large,7,350+,Daily,True,66.35,True,False,38,Compromised Credentials,True,66.83,6,1,0
Pharma,Medium,20,50-350,Weekly,True,59.31,True,False,63,Exploited Vulnerability,True,65.96,3,1,0
Hospital,Medium,12,1-50,Weekly,True,73.65,True,False,73,Exploited Vulnerability,False,33.52,6,1,0
Clinic,Medium,9,50-350,Monthly,False,57.56,True,True,33,Exploited Vulnerability,False,34.84,3,2,0
Hospital,Medium,14,50-350,Daily,True,78.27,True,False,70,Exploited Vulnerability,False,43.85,7,1,0
Hospital,Medium,20,50-350,Daily,False,63.61,True,False,51,Compromised Credentials,False,42.92,1,0,0
Hospital,Large,1,350+,Weekly,True,61.37,True,False,19,Compromised Credentials,True,69.31,3,1,0
Clinic,Medium,10,50-350,More than once per day,True,22.69,True,False,13,Phishing Email,False,43.96,6,1,0
Clinic,Small,17,350+,More than once per day,False,46.67,False,True,16,Compromised Credentials,False,51.34,4,2,0
Hospital,Medium,17,50-350,Monthly,True,52.7,True,True,45,Compromised Credentials,True,17.7,5,1,0
Hospital,Large,17,1-50,Daily,True,71.1,True,True,70,RDP Exploit,False,26.41,5,0,0
Pharma,Medium,4,1-50,Monthly,True,59.63,True,False,70,Compromised Credentials,True,53.5,4,1,0
Hospital,Medium,17,1-50,Daily,False,36.52,True,True,30,Phishing Email,False,26.96,1,0,0
Hospital,Large,18,350+,Daily,True,58.16,False,True,24,Compromised Credentials,False,30.25,2,1,0
Clinic,Medium,20,50-350,Weekly,True,73.4,True,False,55,Phishing Email,True,58.79,3,1,0
Pharma,Medium,23,50-350,Weekly,True,57.25,True,False,75,Phishing Email,False,23.61,3,1,0
Hospital,Large,2,1-50,Weekly,False,47.25,True,False,22,Phishing Email,False,26.14,2,0,0
Clinic,Small,8,1-50,Daily,True,59.32,False,True,33,Phishing Email,True,22.97,2,1,0
Research Lab,Medium,13,50-350,Weekly,True,55.52,True,False,59,Compromised Credentials,True,61.33,1,0,0
Hospital,Medium,23,50-350,Daily,True,63.8,True,True,81,Compromised Credentials,True,47.3,6,0,0
Research Lab,Small,22,1-50,Daily,True,60.33,True,True,95,Compromised Credentials,False,46.56,3,1,0
Hospital,Medium,20,50-350,Daily,True,72.25,False,True,62,RDP Exploit,True,53.73,2,1,0
Clinic,Small,22,1-50,Weekly,False,43.39,False,True,49,Exploited Vulnerability,False,28.87,3,2,0
Clinic,Small,15,1-50,Daily,True,77.37,False,False,75,Phishing Email,True,33.92,6,1,0
Clinic,Medium,20,50-350,Daily,True,56.52,False,True,62,Compromised Credentials,False,18.38,4,1,0
Hospital,Large,23,1-50,Daily,False,63.66,True,False,44,Compromised Credentials,True,45.68,7,0,0
Insurance,Large,9,350+,More than once per day,True,25.77,False,False,11,Malicious Website,False,55.65,6,1,0
Hospital,Large,3,1-50,More than once per day,True,35.89,True,False,25,Exploited Vulnerability,False,39.44,2,0,0
Hospital,Large,3,1-50,Weekly,True,69.52,True,False,36,Compromised Credentials,True,19.65,1,0,0
Hospital,Large,2,1-50,Daily,True,51.58,True,True,56,Compromised Credentials,True,50.5,1,0,0
Clinic,Medium,1,50-350,Monthly,True,78.7,True,False,41,Phishing Email,False,47.44,6,1,0
Clinic,Medium,14,50-350,Weekly,True,58.33,True,False,61,Compromised Credentials,True,37.34,3,2,0
Hospital,Medium,17,50-350,More than once per day,False,41.55,False,False,28,Phishing Email,True,58.75,3,1,0
Clinic,Small,13,1-50,Weekly,False,53.57,True,False,54,Exploited Vulnerability,True,44.58,6,2,0
Hospital,Medium,19,1-50,More than once per day,False,40.85,False,False,35,RDP Exploit,True,63.33,1,0,0
Clinic,Medium,23,50-350,Weekly,True,58.6,True,False,70,Compromised Credentials,False,33.26,3,1,0
Hospital,Large,15,350+,Monthly,True,55.77,True,False,45,Compromised Credentials,False,36.62,1,0,0
Clinic,Small,14,350+,Daily,True,79.2,True,False,38,Compromised Credentials,False,27.14,5,2,0
Hospital,Large,2,1-50,Weekly,True,61.61,True,False,59,Phishing Email,True,42.94,1,0,0
Pharma,Medium,7,50-350,Daily,False,60.28,False,False,39,Exploited Vulnerability,True,50.13,6,0,0
Hospital,Large,17,350+,Daily,True,76.24,True,False,35,Exploited Vulnerability,False,27.43,7,0,0
Hospital,Large,18,1-50,Monthly,False,61.86,True,False,28,Compromised Credentials,False,20.51,6,0,0
Hospital,Large,6,350+,Daily,True,60.07,False,False,22,RDP Exploit,True,74.42,5,1,0
Pharma,Medium,21,1-50,Daily,True,46.2,False,False,64,Compromised Credentials,False,22.34,7,1,0
Insurance,Large,8,350+,Daily,True,60.32,True,False,32,Malicious Website,False,42.46,7,1,0
Hospital,Medium,2,50-350,Weekly,True,64.13,True,False,50,Compromised Credentials,True,40.21,4,0,0
Clinic,Small,1,350+,Daily,False,72.57,True,False,16,Compromised Credentials,False,34.41,6,2,0
Insurance,Medium,16,50-350,Monthly,False,66.23,False,True,47,Compromised Credentials,False,22.35,4,1,0
Clinic,Small,7,1-50,More than once per day,True,39.05,True,True,45,Compromised Credentials,True,53.06,7,2,0
Clinic,Medium,22,350+,Daily,True,66.73,True,True,30,Phishing Email,True,59.99,7,1,0
Hospital,Medium,24,1-50,Weekly,True,48.22,True,False,59,Phishing Email,True,45.94,4,1,0
Hospital,Large,11,1-50,Daily,False,46.14,True,False,25,Exploited Vulnerability,False,35.53,2,0,0
Insurance,Medium,15,50-350,Weekly,True,53.72,True,False,53,RDP Exploit,False,53.01,1,1,0
Pharma,Medium,13,50-350,Daily,False,63.67,True,False,36,RDP Exploit,True,62.68,5,0,0
Clinic,Small,24,350+,More than once per day,True,22.32,True,True,19,Exploited Vulnerability,False,70.22,7,2,0
Hospital,Medium,2,1-50,More than once per day,True,41.1,True,True,32,RDP Exploit,True,57.52,5,1,0
Hospital,Medium,14,50-350,Monthly,False,51.91,False,False,32,Compromised Credentials,True,59.36,5,0,0
Research Lab,Medium,24,50-350,Weekly,True,42.2,True,True,50,Exploited Vulnerability,False,10.17,6,1,0
Insurance,Large,6,1-50,Weekly,True,50.33,True,False,45,Compromised Credentials,False,48.39,1,1,0
Insurance,Medium,9,1-50,Daily,True,47.41,True,False,41,Compromised Credentials,True,61.24,6,1,0
Research Lab,Small,7,1-50,Weekly,True,84.29,True,False,71,Exploited Vulnerability,True,35.9,4,2,0
Clinic,Small,18,1-50,Daily,True,84.61,True,True,83,Phishing Email,False,41.4,2,2,0
Hospital,Large,24,350+,Monthly,True,52.46,True,False,27,Phishing Email,False,52.73,1,1,0
Hospital,Medium,9,50-350,Weekly,False,53.59,True,False,24,Compromised Credentials,False,37.07,6,0,0
Insurance,Medium,23,50-350,Weekly,False,45.05,True,False,24,Phishing Email,False,49.78,7,1,0
Clinic,Medium,4,350+,More than once per day,False,37.23,True,True,11,Compromised Credentials,False,34.15,2,0,0
Hospital,Medium,9,1-50,Daily,True,53.78,True,False,49,Compromised Credentials,False,34.72,2,1,0
Hospital,Large,4,350+,Daily,False,52.48,True,True,12,Exploited Vulnerability,False,39.57,2,0,0
Clinic,Medium,12,50-350,Monthly,True,50.01,True,False,46,Compromised Credentials,True,61.6,1,2,0
Hospital,Large,4,350+,Daily,True,57.39,True,True,22,Infected Removable Media,False,40.95,4,1,0
Hospital,Medium,24,1-50,Daily,True,71.65,True,False,91,Exploited Vulnerability,True,56.73,6,0,0
Clinic,Small,20,350+,Daily,True,60.95,True,True,35,Compromised Credentials,False,57.15,4,2,0
Clinic,Small,14,1-50,Daily,True,87.28,False,False,54,Compromised Credentials,True,40.58,3,1,0
Clinic,Small,24,1-50,More than once per day,True,43.06,True,True,62,Phishing Email,True,70.55,5,1,0
Hospital,Medium,24,50-350,Monthly,False,66.64,True,True,45,Exploited Vulnerability,False,22.8,5,0,0
Research Lab,Small,7,1-50,Weekly,True,63.59,True,False,60,Exploited Vulnerability,True,15.69,4,2,0
Hospital,Medium,13,50-350,Monthly,False,54.49,True,False,34,Compromised Credentials,False,48.9,5,0,0
Hospital,Medium,22,50-350,Weekly,True,53.02,True,False,48,Phishing Email,False,21.04,4,1,0
Research Lab,Medium,8,50-350,Daily,True,59.93,True,False,51,Exploited Vulnerability,True,50.85,7,1,0
Clinic,Small,23,1-50,Daily,True,50.81,True,True,85,Exploited Vulnerability,False,21.09,2,2,0
Insurance,Medium,5,1-50,More than once per day,False,36.08,True,False,15,Exploited Vulnerability,False,40.55,6,1,0
Clinic,Small,12,1-50,Monthly,True,51.71,True,True,56,Compromised Credentials,False,22.9,7,2,0
Clinic,Medium,13,50-350,Daily,True,43.82,True,False,34,Compromised Credentials,False,60.47,3,1,0
Hospital,Large,20,1-50,Daily,True,56.54,True,False,40,Exploited Vulnerability,False,24.38,5,0,0
Hospital,Large,14,1-50,Daily,True,55.42,True,False,53,Exploited Vulnerability,True,51.21,7,0,0
Hospital,Medium,18,1-50,Daily,False,58.03,True,True,48,Compromised Credentials,False,24.38,2,0,0
Hospital,Medium,24,1-50,Daily,True,58.91,False,False,64,Compromised Credentials,True,43.86,5,1,0
Pharma,Medium,20,50-350,Daily,True,54.77,True,False,68,RDP Exploit,False,35.52,3,1,0
Hospital,Large,4,350+,Weekly,False,57.3,True,True,6,Exploited Vulnerability,True,58.08,1,0,0
Insurance,Medium,21,1-50,Weekly,True,46.31,True,False,69,Compromised Credentials,True,59.66,3,1,0
Clinic,Medium,18,50-350,Daily,False,90.0,True,False,39,Phishing Email,True,46.87,2,2,0
Research Lab,Medium,7,50-350,Daily,False,46.8,True,False,9,Compromised Credentials,False,39.29,3,0,0
Clinic,Medium,15,50-350,Monthly,False,45.03,True,False,37,Exploited Vulnerability,False,18.85,2,2,0
Clinic,Medium,21,50-350,More than once per day,True,28.3,True,False,30,Compromised Credentials,False,52.87,3,1,0
Clinic,Medium,6,50-350,Monthly,True,42.07,True,True,58,Exploited Vulnerability,False,41.9,7,1,1
Hospital,Medium,16,50-350,Daily,True,60.25,True,False,80,Phishing Email,False,30.4,5,1,0
Research Lab,Small,20,1-50,Weekly,False,64.88,True,False,54,Exploited Vulnerability,True,52.06,6,2,0
Hospital,Medium,24,50-350,Weekly,True,55.41,True,True,71,Phishing Email,False,42.57,3,1,0
Hospital,Medium,8,50-350,Weekly,True,62.89,True,False,59,Exploited Vulnerability,False,33.82,3,1,0
Clinic,Small,21,1-50,Monthly,False,46.46,True,False,43,Exploited Vulnerability,True,54.38,4,2,0
Hospital,Large,16,1-50,More than once per day,True,33.3,True,False,36,Exploited Vulnerability,False,39.1,3,1,0
Pharma,Large,22,350+,Daily,False,58.0,True,False,26,Phishing Email,False,39.11,5,0,0
Pharma,Medium,16,50-350,Daily,False,51.25,True,False,29,Compromised Credentials,True,67.6,2,0,0
Pharma,Medium,3,50-350,Weekly,True,63.94,True,False,36,Compromised Credentials,False,31.42,1,1,0
Hospital,Large,17,350+,Daily,True,59.85,True,True,42,Exploited Vulnerability,True,66.66,1,0,0
Hospital,Medium,9,50-350,Weekly,True,73.36,True,False,63,Exploited Vulnerability,True,43.9,1,0,0
Pharma,Medium,3,50-350,Daily,False,66.97,True,True,20,Exploited Vulnerability,False,43.52,7,0,0
Clinic,Medium,20,50-350,Daily,True,49.64,False,False,81,Exploited Vulnerability,False,17.86,1,1,0
Pharma,Large,7,350+,Weekly,True,53.64,True,False,21,Exploited Vulnerability,True,73.18,6,1,0
Pharma,Medium,18,50-350,More than once per day,False,20.45,True,False,20,Phishing Email,True,79.88,2,0,0
Insurance,Medium,12,50-350,Daily,False,52.35,True,False,29,RDP Exploit,False,24.81,6,1,0
Hospital,Medium,19,1-50,More than once per day,False,52.67,True,False,40,Compromised Credentials,True,50.43,2,0,0
Hospital,Large,16,350+,Daily,True,46.68,True,True,22,Exploited Vulnerability,False,26.75,1,0,0
Insurance,Medium,22,50-350,Weekly,True,48.65,True,False,54,Compromised Credentials,True,64.72,7,1,0
Hospital,Large,24,1-50,Weekly,True,70.36,True,False,74,Exploited Vulnerability,False,46.47,3,0,0
Hospital,Large,17,350+,Daily,True,54.89,True,False,27,Phishing Email,False,36.18,3,1,0
Clinic,Medium,20,50-350,Daily,False,68.93,True,False,45,Compromised Credentials,False,17.98,6,2,0
Pharma,Medium,15,1-50,Daily,False,74.7,False,False,53,Exploited Vulnerability,False,24.4,4,1,0
Clinic,Medium,1,50-350,Daily,False,58.23,True,False,20,Compromised Credentials,False,42.92,2,2,0
Clinic,Medium,2,50-350,Monthly,True,49.66,True,False,48,Exploited Vulnerability,False,43.5,4,1,0
Hospital,Large,8,350+,Monthly,True,51.28,True,False,23,Compromised Credentials,False,20.6,5,0,0
Clinic,Small,22,1-50,More than once per day,True,30.48,True,False,49,Exploited Vulnerability,False,24.4,2,2,0
Pharma,Large,2,350+,More than once per day,True,28.7,True,False,11,Compromised Credentials,True,85.65,1,1,0
